StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,StationName_Zh_tw,StationName_En,StationAddress_Zh_tw,StationAddress_En,PositionLon,PositionLat,GeoHash
TNN501305001,501305001,TNN,26,2,2023-05-17T16:39:17+08:00,2023-05-17T16:51:36+08:00,民生轉運站,Minsheng Transfer Station,民生路二段416號旁,"No. 416, Sec. 2, Minsheng Rd.",120.18759,22.99781,wsj6yftgv
TNN501305002,501305002,TNN,19,2,2023-05-17T16:45:19+08:00,2023-05-17T16:51:36+08:00,海安民族,Hai'an Minzu Rd. Intersection,海安路二段297號前,"No. 297, Sec. 2, Hai'an Rd.",120.19767,22.99841,wsj6z4tr2
TNN501305003,501305003,TNN,40,2,2023-05-17T16:26:18+08:00,2023-05-17T16:51:36+08:00,海安正興,Hai'an Zhengxing St. Intetersection,海安路二段90號對側,"No. 90, Sec. 2, Hai'an Rd.(Opposite)",120.19644,22.99461,wsj6z4h3k
TNN501305004,501305004,TNN,45,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,赤崁樓,Chihkan Tower,赤嵌街9號(對側人行道),"No. 9, Chikan St.(Opposite)",120.20227,22.99752,wsj6z68d7
TNN501305005,501305005,TNN,20,2,2023-05-17T16:47:16+08:00,2023-05-17T16:51:36+08:00,家庭教育中心,Family Education Center,公園路/公園路175巷(西北側),"Ln. 175, Gongyuan Rd. & Gongyuan Rd. Intersection",120.20639,22.99715,wsj6z6e85
TNN501305006,501305006,TNN,40,2,2023-05-17T16:48:16+08:00,2023-05-17T16:51:36+08:00,小西門公園,Xiaoximen Park,和意路/永福路一段233巷口(東南側),"Heyi Rd. & Ln. 233, Sec. 1, Yongfu Rd. Intersection(Southeast)",120.19852,22.9884,wsj6z0vvh
TNN501305007,501305007,TNN,25,2,2023-05-17T16:48:16+08:00,2023-05-17T16:51:36+08:00,臺南市美術館二館,Tainan Art Museum (Building 2),府前路一段與永福路二段口,"Sec. 1, Fuqian Rd. & Sec. 2, Yongfu Rd. Intersection",120.20049,22.99013,wsj6z1pr4
TNN501305008,501305008,TNN,40,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,延平郡王祠,Koxinga Shrine,開山路129號(對側人行道),"No. 129, Kaishan Rd.(Opposite)",120.20793,22.98844,wsj6z2utr
TNN501305009,501305009,TNN,30,2,2023-05-17T16:46:19+08:00,2023-05-17T16:51:36+08:00,臺灣文學館,National Museum of Taiwan Literature,友愛街(臺灣文學館後門),You'ai Stree(National Museum of Taiwan Literature),120.20392,22.99111,wsj6z33uf
TNN501305013,501305013,TNN,20,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,頂湖公園,Dinghu Park,湖美二街/西湖街口,Humei 2nd St. & Xihu St. Intersection,120.18189,23.00385,wsj6yg9z1
